"entry","entry href","field-content","field-content 2"
"Gibson PS [Omagh]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gibson-ps-omagh","64 Old Mountfield Road, Omagh, Co. Tyrone, BT79 7EG","Primary"
"Giggles Day Care PG [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/giggles-day-care-pg-newry","103 Camlough Road, Newry, Co Armagh, BT35 7EE","Pre-School"
"Gilford PS [Craigavon]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gilford-ps-craigavon","Castle Hill, Gilford, Craigavon, Co. Armagh, BT63 6HH","Primary"
"Gilford PS NU [Craigavon]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/gilford-ps-nu-craigavon","Castle Hill, Gilford, Co Down, BT63 6HH","Pre-School"
"Gillygooley PS [Omagh]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gillygooley-ps-omagh","71 Gillygooley Road, Omagh, Co. Tyrone, BT78 5PX","Primary"
"Gilnahirk PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gilnahirk-ps-belfast","148 Gilnahirk Road, Belfast, Co. Antrim, BT5 7QQ","Primary"
"Glasswater PS [Downpatrick]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/glasswater-ps-downpatrick","6 John Street, Crossgar, Downpatrick, Co. Down, BT30 9EG","Primary"
"Glastry College [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/glastry-college-newtownards","14 Victoria Road, Ballyhalbert, Newtownards, Co Down, BT22 1DQ","Post-Primary"
"Glenann PS [Cushendall]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/glenann-ps-cushendall","8 Glenann Road, Cushendall, Ballymena, Co. Antrim, BT44 0TG","Primary"
"Glenarm Community Pre School PG [Ballymena]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/glenarm-community-pre-school-pg-ballymena","Orange Hall, Mark Street, Glenarm , Ballymena, Co Antrim, BT44 0AU","Pre-School"
"Glenbrook Nursery School [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/glenbrook-nursery-school-newtownards","33 Glenard Road, Newtownards, Co Down, BT23 4HS","Pre-School"
"Glencraig Integrated PS [Holywood]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/glencraig-integrated-ps-holywood","Seahill Road, Craigavad, Holywood, Co. Down, BT18 0DJ","Primary"
"Glencraig Integrated PS NU [Holywood]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/glencraig-integrated-ps-nu-holywood","32 Seahill Road, Holywood, Co Down, BT18 0DJ","Pre-School"
"Glendermott PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/glendermott-ps","50 Ardmore Road, Londonderry, Co. Londonderry, BT47 3QZ","Primary"
"Glendermott PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/glendermott-ps-nu","50 Ardmore Road, Derry, Co Londonderry, BT47 3QZ","Pre-School"
"Glendhu Nursery School [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/glendhu-nursery-school-belfast","10-18 Glendhu Manor, Garnerville Road, Belfast, Co Antrim, BT4 2RJ","Pre-School"
"Glengormley Integrated PS [Newtownabbey]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/glengormley-integrated-ps-newtownabbey","166 Church Road, Newtownabbey, Co. Antrim, BT36 6HJ","Primary"
"Glengormley IPS PG [Newtownabbey]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/glengormley-ips-pg-newtownabbey","166 Church Road, Glengormley, Newtownabbey, Co Antrim, BT36 6HJ","Pre-School"
