"entry","entry href","field-content","field-content 2"
"Newtownhamilton PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/newtownhamilton-ps","8 School Road, Newtownhamilton, Newry, Co. Down, BT35 0DQ","Primary"
"Newtownstewart Model PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/newtownstewart-model-ps","6 Baronscourt Road, Newtownstewart, Omagh, Co. Tyrone, BT78 4EX","Primary"
"Nippers Alley PG [Loughmacrory]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/nippers-alley-pg-loughmacrory","166 Loughmacrory Road, Loughmacrory, Omagh, Co Tyrone, BT79 9LG","Pre-School"
"North Coast Integrated College","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/north-coast-integrated-college","21 Cloyfin Road, Coleraine, Co Londonderry, BT52 2NU","Post-Primary"
"Oakfield PS [Carrickfergus]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/oakfield-ps-carrickfergus","Oakfield Drive, Carrickfergus, Co. Antrim, BT38 7SP","Primary"
"Oakfield PS NU [Carrickfergus]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/oakfield-ps-nu-carrickfergus","Oakfield Drive, Carrickfergus, Co Antrim, BT38 7SP","Pre-School"
"Oakgrove Integrated College","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/oakgrove-integrated-college","Stradreagh, Gransha Park, Londonderry, Co Londonderry, BT47 6TG","Post-Primary"
"Oakgrove Integrated PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/oakgrove-integrated-ps","Rectory Field, 19 Limavady Road, Londonderry, Co. Londonderry, BT47 6JY","Primary"
"Oakgrove Integrated PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/oakgrove-integrated-ps-nu","Rectory Field, 19 Limavady Road, Derry/Londonderry, Co Londonderry, BT47 6JY","Pre-School"
"Oakwood Integrated PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/oakwood-integrated-ps","48 The Cutts, Dunmurry, Belfast, Co. Antrim, BT17 9HN","Primary"
"Oakwood Integrated PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/oakwood-integrated-ps-nu","48 The Cutts, Derriaghy, Belfast, Co Antrim, BT17 9HN","Pre-School"
"Oakwood School and Assessment Centre","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/oakwood-school-and-assessment-centre-0","Haberton Park, BELFAST, CO ANTRIM, BT9 6TX","Special School"
"Old Warren PS [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/old-warren-ps-lisburn","147 Drumbeg Drive, Lisburn, Co. Antrim, BT28 1QP","Primary"
"Old Warren PS NU [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/old-warren-ps-nu-lisburn","147 Drumbeg Drive, Lisburn, Co Antrim, BT28 1QP","Pre-School"
"Olderfleet PS [Larne]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/olderfleet-ps-larne","116-128 Curran Road, Larne, Co. Antrim, BT40 1BX","Primary"
"Oldpark Nursery School [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/oldpark-nursery-school-belfast","Sylvan Street, Belfast, Co Antrim, BT14 6GN","Pre-School"
"Omagh Academy Grammar School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/omagh-academy-grammar-school","21-23 Dublin Road, Omagh, Co Tyrone, BT78 1HF","Post-Primary"
"Omagh County PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/omagh-county-ps","37 Campsie Road, Omagh, Co. Tyrone, BT79 0AJ","Primary"
"Omagh County PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/omagh-county-ps-nu","37 Campsie Road, Omagh, Co Tyrone, BT79 0AJ","Pre-School"
"Omagh High School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/omagh-high-school","14 Crevenagh Road, Omagh, Co Tyrone, BT79 0EQ","Post-Primary"
"Omagh Integrated PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/omagh-integrated-ps","72 Crevenagh Road, Omagh, Co. Tyrone, BT79 0EW","Primary"
"Omagh Integrated PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/omagh-integrated-ps-nu","72 Crevenagh Road, Omagh, Co Tyrone, BT79 0EX","Pre-School"
"Omagh North Nursery School","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/omagh-north-nursery-school","64a Old Mountfield Road, Omagh, Co Tyrone, BT79 7EG","Pre-School"
"Orangefield PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/orangefield-ps-belfast","55 Cameronian Drive, Belfast, Co. Antrim, BT5 6DF","Primary"
"Orangefield PS NU [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/orangefield-ps-nu-belfast","55 Cameronian Drive, Belfast, Co Antrim, BT5 6DF","Pre-School"
"Orchard Community PG [Ballykelly]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/orchard-community-pg-ballykelly","32a Hyacinth Avenue, Ballykelly, Limavady, Co Londonderry, BT49 9HT","Pre-School"
"Orchard County PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/orchard-county-ps","65 Blackisland Road, Portadown, Craigavon, Co. Armagh, BT62 1NH","Primary"
"Orchard County PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/orchard-county-ps-nu","65 Blackisland Road, Annaghamore, Portadown, Co Armagh, BT62 1NH","Pre-School"
"Orchard Pre School PG [Loughgall]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/orchard-pre-school-pg-loughgall","14 Ballyhegan Road, Loughgall, Armagh, Co Armagh, BT61 8PX","Pre-School"
"Orritor PS [Cookstown]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/orritor-ps-cookstown","249 Orritor Road, Cookstown, Co. Tyrone, BT80 9NE","Primary"
"Orritor PS NU [Cookstown]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/orritor-ps-nu-cookstown","249 Orritor Road, Cookstown, Co Tyrone, BT80 9NE","Pre-School"
"Our Lady & St Patrick PS [Downpatrick]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/our-lady-st-patrick-ps-downpatrick","Edward Street, Downpatrick, Co. Down, BT30 6JD","Primary"
"Our Lady & St Patrick's College [Knock]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/our-lady-st-patricks-college-knock","120 Gilnahirk Road, Belfast, Co Antrim, BT5 7DL","Post-Primary"
"Our Lady of Fatima PS [Tamnaherin]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/our-lady-of-fatima-ps-tamnaherin","92 Ervey Road, Tamnaherin, Co. Londonderry, BT47 3AU","Primary"
"Our Lady of Lourdes High School [Ballymoney]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/our-lady-of-lourdes-high-school-ballymoney","Castle Street, Ballymoney, Co Antrim, BT53 6JX","Post-Primary"
"Our Lady of Lourdes PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/our-lady-of-lourdes-ps-belfast","Park Lodge, 700 Antrim Road, Belfast, Co. Antrim, BT15 5GQ","Primary"
"Our Lady of Lourdes PS [Greencastle]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/our-lady-of-lourdes-ps-greencastle","279 Crockanboy Road, Greencastle, Omagh, Co. Tyrone, BT79 7QP","Primary"
"Our Lady Queen of Peace PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/our-lady-queen-of-peace-ps-belfast","1 Cherry Road, Upper Dunmurry Lane, Belfast, Co. Antrim, BT17 0RW","Primary"
"Our Lady Queen of Peace PS NU [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/our-lady-queen-of-peace-ps-nu-belfast","1 Cherry Road, Upper Dunmurry Lane, Belfast, Co Antrim, BT17 0RW","Pre-School"
"Our Lady's & St Mochua's PS [Keady]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/our-ladys-st-mochuas-ps-keady","91 Derrynoose Road, Keady, Co. Armagh, BT60 3EZ","Primary"
"Our Lady's Grammar School [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/our-ladys-grammar-school-newry","Chequer Hill, Newry, Co Down, BT35 6DY","Post-Primary"
"Our Lady's PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/our-ladys-ps-belfast","Deanby Gardens, Belfast, Co. Antrim, BT14 6NN","Primary"
"Our Lady's PS [Tullysaran]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/our-ladys-ps-tullysaran","12 Milltown Road, Tullysaran, Benburb, Dungannon, Co. Tyrone, BT71 7NJ","Primary"
"Our Lady’s Nursery School [Deanby] [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/our-ladys-nursery-school-deanby-belfast","Deanby Gardens, Belfast, Co Antrim, BT14 6NN","Pre-School"
"Paddington PG [Dungannon]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/paddington-pg-dungannon","40 Lurgylea Road, Galbally, Dungannon, Co Tyrone, BT70 2NX","Pre-School"
"Panda Cross Community PG [Dungannon]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/panda-cross-community-pg-dungannon","190 Ballygawley Road, Dungannon, Co Tyrone, BT70 1TF","Pre-School"
"Park Community PG [Claudy]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/park-community-pg-claudy","Learmount Resource Centre, 201c Learmount Road, Park Village, Claudy, Co Londonderry, BT47 4BA","Pre-School"
"Park Education Resource Centre","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/park-education-resource-centre","145 Ravenhill Road, BELFAST, CO ANTRIM, BT6 8GH","Special School"
"Parkgate PS [Ballyclare]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/parkgate-ps-ballyclare","79 Grange Road, Parkgate, Ballyclare, Co. Antrim, BT39 0DH","Primary"
"Parkhall Integrated College","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/parkhall-integrated-college","Steeple Road, Antrim, Co Antrim, BT41 1AF","Post-Primary"
"Parkhall PS [Antrim]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/parkhall-ps-antrim","Seacash Walk, Antrim, Co. Antrim, BT41 1AZ","Primary"
"Parkview School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/parkview-school-0","2 Brokerstown Road, LISBURN, CO ANTRIM, BT28 2EE","Special School"
"Peatlands PG [Portadown]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/peatlands-pg-portadown","2 Clonmakate Road, Portadown, Craigavon, Co Armagh, BT62 1LR","Pre-School"
"Peter Pan PG [Trillick]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/peter-pan-pg-trillick","32 Main Street, Trillick, Co Tyrone, BT78 3SU","Pre-School"
"Peters Patch Day Nursery PG [Hillsborough]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/peters-patch-day-nursery-pg-hillsborough","31 Carnreagh, Hillsborough, Co Down, BT26 6LJ","Pre-School"
"Phoenix Integrated PS [Cookstown]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/phoenix-integrated-ps-cookstown","80 Fountain Road, Cookstown, Co.Tyrone, BT80 8QF","Primary"
"Phoenix Integrated PS NU [Cookstown]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/phoenix-integrated-ps-nu-cookstown","80 Fountain Road, Cookstown, Co. Tyrone, BT80 8QF","Pre-School"
"Play and Learn PG [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/play-and-learn-pg-belfast","Holy Cross Girls' Primary School, Ardoyne Road, Belfast, Co Antrim, BT14 7HZ","Pre-School"
"Play Links PG [Downpatrick]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/play-links-pg-downpatrick","40A The Links, The Playing Fields, Strangford, Co Down, BT30 7NB","Pre-School"
"Play-A-Way Preschool PG [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/play-a-way-preschool-pg-newtownards","Within Victoria Primary School, East Street, Newtownards, Co Down, BT23 7DD","Pre-School"
"Playaway Pre School PG [Larne]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/playaway-pre-school-pg-larne","Islandmagee Community Centre, Middle Road, Islandmagee, Co Antrim, BT40 3BW","Pre-School"
"Playhouse Activity Centre PG [Coleraine]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/playhouse-activity-centre-pg-coleraine","Coleraine West Community Centre, The Rope Walk, Coleraine, Co Londonderry, BT51 3EZ","Pre-School"
"Playtime Day Nursery & PG [Eskra]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/playtime-day-nursery-pg-eskra","167 Newtownsaville Road, Eskra, Omagh, Co Tyrone, BT78 2RJ","Pre-School"
"Pomeroy Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/pomeroy-pre-school-pg","5A Cavanakeeran Road, Pomeroy, Dungannon, Co Tyrone, BT70 2RD","Pre-School"
"Pond Park Nursery School [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/pond-park-nursery-school-lisburn","20 Redpoll Avenue, Lisburn, Co Antrim, BT28 3PW","Pre-School"
"Pond Park PS [Lisburn]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/pond-park-ps-lisburn","63 Pond Park Road, Lisburn, Co. Antrim, BT28 3BF","Primary"
"Portadown College","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/portadown-college-0","4 Killycomain Road, Portadown, Craigavon, Co Armagh, BT63 5BU","Post-Primary"
"Portadown Independent Christian School, Portadown","https://www.eani.org.uk/parents/types-of-school/school-type/independent-school/portadown-independent-christian-school","","Independent School"
"Portadown Integrated PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/portadown-integrated-ps","Kernan Road, Portadown, Craigavon, Co. Armagh, BT63 5RR","Primary"
"Portadown Integrated PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/portadown-integrated-ps-nu","1 Kernan Road, Portadown, Craigavon, Co Armagh, BT63 5RR","Pre-School"
"Portaferry Integrated PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/portaferry-integrated-ps","High Street, Portaferry, Newtownards, Co. Down, BT22 1QU","Primary"
"Portavogie PS [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/portavogie-ps-newtownards","New Harbour Road, Portavogie, Newtownards, Co. Down, BT22 1EE","Primary"
"Portavogie PS NU [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/portavogie-ps-nu-newtownards","New Harbour Road, Portavogie, Newtownards, Co Down, BT22 1EE","Pre-School"
"Portglenone Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/portglenone-community-pg","Portglenone Community Centre, Gortgole Road, Portglenone, Co Antrim, BT44 8HT","Pre-School"
"Portglenone PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/portglenone-ps","10 Cullybackey Road, Portglenone, Ballymena, Co. Antrim, BT44 8AF","Primary"
"Portrush Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/portrush-community-pg","Croc-na-mac Road, Portrush, Co Antrim, BT56 8JW","Pre-School"
"Portrush PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/portrush-ps","75 Croc-na-mac Road, Portrush, Co. Antrim, BT56 8JW","Primary"
"Portstewart PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/portstewart-ps","Central Avenue, Portstewart, Co. Londonderry, BT55 7BT","Primary"
"Portstewart PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/portstewart-ps-nu","Central Avenue, Portstewart, Co Londonderry, BT55 7BT","Pre-School"
"Poyntzpass PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/poyntzpass-pg","The Meeting Place, 16-18 Church Street, Poyntzpass, Newry, Co Down, BT35 6SW","Pre-School"
"Poyntzpass PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/poyntzpass-ps","1 Tandragee Road, Poyntzpass, Newry, Co. Down, BT35 6SL","Primary"
"Presentation PS [Portadown]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/presentation-ps-portadown","Thomas Street, Portadown, Craigavon, Co. Armagh, BT62 3AH","Primary"
"Primate Dixon PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/primate-dixon-ps","4 School Lane, Coalisland, Dungannon, Co. Tyrone, BT71 4NW","Primary"
"Primate Dixon PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/primate-dixon-ps-nu","4 School Lane, Coalisland, Co Tyrone, BT71 4NW","Pre-School"
"Primrose Hill Day Nursery PG [Ballyclare]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/primrose-hill-day-nursery-pg-ballyclare","3a Lisglass Road, Ballyclare, Co Antrim, BT39 9NP","Pre-School"
"Priory Integrated College [Holywood]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/priory-integrated-college-holywood","My Lady's Mile, Holywood, Co Down, BT18 9ER","Post-Primary"
"Puddleducks PG [Clanabogan]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/puddleducks-pg-clanabogan","15 Drudgeon Road, Clanabogan, Omagh, Co Tyrone, BT78 1TJ","Pre-School"
"Queen Elizabeth II PS [Kilskeery]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/queen-elizabeth-ii-ps-kilskeery","115 Kilskeery Road, Kilskeery, Trillick, Omagh, Co. Tyrone, BT78 3RJ","Primary"
"Queen Elizabeth II PS [Pomeroy]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/queen-elizabeth-ii-ps-pomeroy","3 Edendoit Road, Pomeroy, Dungannon, Co. Tyrone, BT70 2RW","Primary"
"Railway Street Nursery School [Armagh]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/railway-street-nursery-school-armagh","Railway Street, Armagh, Co Armagh, BT61 7HP","Pre-School"
"Rainbow Child & Family Centre PG [Galliagh]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rainbow-child-family-centre-pg-galliagh","104 Bracken Park, Galliagh, Derry, Co Londonderry, BT48 8AZ","Pre-School"
"Rainbow Community PG [Omagh]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rainbow-community-pg-omagh","The Station Centre, 18 James Street, Omagh, Co Tyrone, BT78 1QX","Pre-School"
"Rainbow Corner Pre School & PG [Moira]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rainbow-corner-pre-school-pg-moira","2 Main Street, Moira, Co Armagh, BT67 0LE","Pre-School"
"Rainbow PG [Carrickfergus]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rainbow-pg-carrickfergus","Sunnylands Community Centre, 22 Bridewell Drive, Carrickfergus, Co Antrim, BT38 8JW","Pre-School"
"Rainbow PG [Dungannon]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rainbow-pg-dungannon","2 Stilago Road, Eglish, Dungannon, Co Tyrone, BT71 7DW","Pre-School"
"Rainbow Stop PG [Markethill]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rainbow-stop-pg-markethill","30B Seaboughan Road, Markethill, Armagh, Co Armagh, BT60 1SD","Pre-School"
"Rainey Endowed Grammar School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/rainey-endowed-grammar-school","79 Rainey Street, Magherafelt, Co Londonderry, BT45 5DB","Post-Primary"
"Randalstown Central PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/randalstown-central-ps","4 Church Road, Randalstown, Co. Antrim, BT41 3AJ","Primary"
"Randalstown Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/randalstown-community-pg","Neillsbrook Community Centre, Neillsbrook Park, Randalstown, Co Antrim, BT41 3AE","Pre-School"
"Rascals 'n' Ruffians PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rascals-n-ruffians-pg","10 Betty's Hill Road, Newry, Co Down, BT34 2LY","Pre-School"
"Rascals Community PG [Gortin]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rascals-community-pg-gortin","62 Main Street, Gortin, Co Tyrone, BT79 8NH","Pre-School"
"Rasharkin Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rasharkin-community-pg","31 Bamford Park, Rasharkin, Co Antrim, BT44 8RX","Pre-School"
"Rasharkin PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/rasharkin-ps","Bamford Park, Rasharkin, Ballymena, Co. Antrim, BT44 8RX","Primary"
"Rathcoole PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/rathcoole-ps","36 Derrycoole Way, Newtownabbey, Co. Antrim, BT37 9EL","Primary"
"Rathcoole PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rathcoole-ps-nu","Derrycoole Way, Newtownabbey, Co Antrim, BT37 9EL","Pre-School"
"Rathfriland High School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/rathfriland-high-school","76 Newry Street, Rathfriland, Newry, Co Down, BT34 5PZ","Post-Primary"
"Rathfriland Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rathfriland-pre-school-pg","21 John Street, Rathfriland, Newry, Co Down, BT34 5QH","Pre-School"
"Rathkeltair Cross Com Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rathkeltair-cross-com-pre-school-pg","Rathkeltair Road, Downpatrick, Co Down, BT30 6NL","Pre-School"
"Rathmore Grammar School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/rathmore-grammar-school","Kingsway, Finaghy, Belfast, Co Antrim, BT10 0LF","Post-Primary"
"Rathmore PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/rathmore-ps","Rathmore Road, Bangor, Co. Down, BT19 1DJ","Primary"
"Rathmore PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rathmore-ps-nu","Rathmore Road, Bangor, Co Down, BT19 1DJ","Pre-School"
"Rathore School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/rathore-school-0","9 Martin's Lane, Carnagat, NEWRY, CO DOWN, BT35 8HJ","Special School"
"Ravenscroft Nursery School","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ravenscroft-nursery-school","Ravenscroft Avenue, Belfast, Co Antrim, BT5 5BA","Pre-School"
"Regent House Grammar","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/regent-house-grammar","Circular Road, Newtownards, Co Down, BT23 4QA","Post-Primary"
"Regent House Preparatory","https://www.eani.org.uk/parents/types-of-school/school-type/preps/regent-house-preparatory","Circular Road, Newtownards, Co. Down, BT23 4QA","Preps"
"Richmond PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/richmond-ps","1 Old Omagh Road, Ballygawley, Dungannon, Co. Tyrone, BT70 2EZ","Primary"
"Richmount PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/richmount-ps","105 Moy Road, Portadown, Craigavon, Co. Armagh, BT62 1QP","Primary"
"Right Rascals Day Nursery PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/right-rascals-day-nursery-pg","Pre-School Unit, 17 Kilmood Church Road, Killinchy, Newtownards, Co Down, BT23 6SA","Pre-School"
"Riverdale PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/riverdale-ps","288 Ballynahinch Road, Legacurry, Lisburn, Co. Antrim, BT27 5LX","Primary"
"Riverside School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/riverside-school-0","Fennel Road, ANTRIM, CO ANTRIM, BT41 4PB","Special School"
"Roan St Patrick's PS [Eglish]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/roan-st-patricks-ps-eglish","114 Killyliss Road, Eglish, Dungannon, Co. Tyrone, BT70 1LE","Primary"
"Rockmount Day Nursery PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rockmount-day-nursery-pg","67 Dromore Road, Ballynahinch, Co Down, BT24 8HS","Pre-School"
"Roddensvale School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/roddensvale-school-0","The Roddens, LARNE, CO ANTRIM, BT40 1PU","Special School"
"Roe Valley Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/roe-valley-community-pg","17 Rathbeg Drive, Limavady, Co Londonderry, BT49 0BB","Pre-School"
"Roe Valley Integrated PS [Limavady]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/roe-valley-integrated-ps-limavady","23 Ballyquin Road, Limavady, Co. Londonderry, BT49 9EY","Primary"
"Roscavey PS [Beragh]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/roscavey-ps-beragh","136 Clogherney Road, Roscavey, Beragh, Omagh, Co. Tyrone, BT79 0RE","Primary"
"Rosemount PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/rosemount-ps","Helen Street, Londonderry, Co. Londonderry, BT48 9DD","Primary"
"Rosemount PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rosemount-ps-nu","18 Helen Street, Derry, Co Londonderry, BT48 9DD","Pre-School"
"Rosetta PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/rosetta-ps","21-23 Knockbreda Road, Belfast, Co. Antrim, BT6 0JA","Primary"
"Rosetta PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/rosetta-ps-nu","21-23 Knockbreda Road, Belfast, Co Antrim, BT6 0JA","Pre-School"
"Roslea Cross Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/roslea-cross-community-pg","11 Monaghan Road, Roslea, Co Fermanagh, BT92 7AF","Pre-School"
"Rossmar School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/rossmar-school-0","2 Balltquin Road, LIMAVADY, CO LONDONDERRY, BT49 9ET","Special School"
"Rosstulla School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/rosstulla-school-0","2-12 Jordanstown Road, NEWTOWNABBEY, CO ANTRIM, BT37 0QF","Special School"
"Round Tower Integrated PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/round-tower-integrated-ps","Durnish Road, Antrim, Co. Antrim, BT41 2TH","Primary"
"Round Tower Integrated PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/round-tower-integrated-ps-nu","Durnish Road, Springfarm, Antrim, Co Antrim, BT41 2TH","Pre-School"
"Roundabout PG [Dungiven]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/roundabout-pg-dungiven","8 Beech Road, Gortnaghy, Dungiven, Co Londonderry, BT47 4QB","Pre-School"
"Rowandale Integrated PS [Moira]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/rowandale-integrated-ps-moira","18 Clarehill Road, Moira, Craigavon, Co. Down, BT67 0PB","Primary"
"Rudolf Steiner Independent School","https://www.eani.org.uk/parents/types-of-school/school-type/independent-school/rudolf-steiner-independent-school","","Independent School"
"Sacred Heart College [Omagh]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/sacred-heart-college-omagh","Kevlin Road, Omagh, Co Tyrone, BT78 1LG","Post-Primary"
"Sacred Heart Grammar School [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/sacred-heart-grammar-school-newry","10 Ashgrove Avenue, Newry, Co Down, BT34 1PR","Post-Primary"
"Sacred Heart PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/sacred-heart-ps-belfast","31-51 Oldpark Avenue, Belfast, Co. Antrim, BT14 6HH","Primary"
"Sacred Heart PS [Dungannon]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/sacred-heart-ps-dungannon","Tullydonnell Road, Rock, Dungannon, Co. Tyrone, BT70 3JE","Primary"
"Sacred Heart PS [Newcastle]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/sacred-heart-ps-newcastle","27 Main Street, Dundrum, Newcastle, Co. Down, BT33 0LU","Primary"
